Baisley Park,Queens,29.360455779130838
Flushing Meadows-Corona Park,Queens,27.304845733617675
South Jamaica,Queens,26.294916239873466
Randalls Island,Manhattan,24.15098994022752
Astoria Park,Queens,21.706417112147523
Briarwood/Jamaica Hills,Queens,19.945064631789336
Springfield Gardens South,Queens,19.468309288781906
Jamaica,Queens,19.28394300013789
Corona,Queens,18.228769248155974
LaGuardia Airport,Queens,18.181338808373
Jamaica Bay,Queens,17.100529446757896
Maspeth,Queens,17.005450640079548
Eltingville/Annadale/Prince's Bay,Staten Island,16.837764756944445
JFK Airport,Queens,16.777725348249646
Battery Park,Manhattan,12.849780311142872
Morningside Heights,Manhattan,12.453698026584078
Battery Park City,Manhattan,12.448848404428603
Greenwich Village North,Manhattan,12.446949891694034
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924133376
